facility_id,building_name,facility_name,facility_type,open_time
41,行政楼（邯郸）,行政楼（邯郸） 教务办公室,办公室,08:30-17:30
42,行政楼（邯郸）,行政楼（邯郸） 财务办公室,办公室,08:30-17:30
43,行政楼（邯郸）,行政楼（邯郸） 会议室A,自习室,09:00-18:00
44,行政楼（邯郸）,行政楼（邯郸） 水吧,水吧,09:00-17:30
45,行政楼（邯郸）,行政楼（邯郸） 公共卫生间,卫生间,08:00-18:00
46,校史馆,校史馆 展厅A,自习室,09:00-17:00
47,校史馆,校史馆 展厅B,自习室,09:00-17:00
48,校史馆,校史馆 讲解员办公室,办公室,09:00-17:00
49,校史馆,校史馆 休息水吧,水吧,09:00-17:00
50,校史馆,校史馆 公共卫生间,卫生间,09:00-17:00
51,交叉学科楼A,交叉学科楼A 101教室,教室,08:00-21:50
52,交叉学科楼A,交叉学科楼A 201教室,教室,08:00-21:50
53,交叉学科楼A,交叉学科楼A 自习室,自习室,07:00-23:00
54,交叉学科楼A,交叉学科楼A 水吧,水吧,09:00-20:30
55,交叉学科楼A,交叉学科楼A 一层卫生间,卫生间,06:00-23:30
56,交叉学科楼B,交叉学科楼B 101教室,教室,08:00-21:50
57,交叉学科楼B,交叉学科楼B 201教室,教室,08:00-21:50
58,交叉学科楼B,交叉学科楼B 自习室,自习室,07:00-23:00
59,交叉学科楼B,交叉学科楼B 水吧,水吧,09:00-20:30
60,交叉学科楼B,交叉学科楼B 一层卫生间,卫生间,06:00-23:30
61,信息学楼,信息学楼 实验室101,教室,09:00-20:00
62,信息学楼,信息学楼 实验室201,教室,09:00-20:00
63,信息学楼,信息学楼 研究办公室,办公室,09:00-18:30
64,信息学楼,信息学楼 研读室,自习室,08:00-23:00
65,信息学楼,信息学楼 公共卫生间,卫生间,07:00-23:00
66,法学楼（江湾）,法学楼（江湾） 模拟法庭,教室,09:00-21:00
67,法学楼（江湾）,法学楼（江湾） 201教室,教室,08:00-21:50
68,法学楼（江湾）,法学楼（江湾） 自习室,自习室,08:00-23:00
69,法学楼（江湾）,法学楼（江湾） 水吧,水吧,09:00-20:30
70,法学楼（江湾）,法学楼（江湾） 公共卫生间,卫生间,07:00-23:00
71,图书馆（江湾）,图书馆（江湾） 阅览室A,自习室,08:00-22:00
72,图书馆（江湾）,图书馆（江湾） 阅览室B,自习室,08:00-22:00
73,图书馆（江湾）,图书馆（江湾） 信息咨询台,办公室,08:30-17:30
74,图书馆（江湾）,图书馆（江湾） 咖啡角,水吧,09:00-20:30
75,图书馆（江湾）,图书馆（江湾） 公共卫生间,卫生间,08:00-22:00
76,江湾食堂,江湾食堂 一层餐厅,食堂,06:30-20:00
77,江湾食堂,江湾食堂 二层餐厅,食堂,06:30-20:00
78,江湾食堂,江湾食堂 水吧,水吧,07:30-20:30
79,江湾食堂,江湾食堂 后勤办公室,办公室,08:30-17:30
80,江湾食堂,江湾食堂 公共卫生间,卫生间,06:00-21:30
81,江湾宿舍1号楼,江湾宿舍1号楼 101寝室,寝室,24h
82,江湾宿舍1号楼,江湾宿舍1号楼 201寝室,寝室,24h
83,江湾宿舍1号楼,江湾宿舍1号楼 自习室,自习室,18:00-23:30
84,江湾宿舍1号楼,江湾宿舍1号楼 楼管办公室,办公室,24h
85,江湾宿舍1号楼,江湾宿舍1号楼 公共卫生间,卫生间,24h
86,江湾宿舍2号楼,江湾宿舍2号楼 101寝室,寝室,24h
87,江湾宿舍2号楼,江湾宿舍2号楼 201寝室,寝室,24h
88,江湾宿舍2号楼,江湾宿舍2号楼 自习室,自习室,18:00-23:30
89,江湾宿舍2号楼,江湾宿舍2号楼 楼管办公室,办公室,24h
90,江湾宿舍2号楼,江湾宿舍2号楼 公共卫生间,卫生间,24h
91,江湾体育中心,江湾体育中心 器材室,办公室,08:00-22:00
92,江湾体育中心,江湾体育中心 训练室,自习室,08:00-22:00
93,江湾体育中心,江湾体育中心 水吧,水吧,10:00-21:30
94,江湾体育中心,江湾体育中心 男卫生间,卫生间,08:00-22:00
95,江湾体育中心,江湾体育中心 女卫生间,卫生间,08:00-22:00
96,后勤服务楼（江湾）,后勤服务楼（江湾） 服务窗口,办公室,08:30-17:30
97,后勤服务楼（江湾）,后勤服务楼（江湾） 维修值班室,办公室,24h
98,后勤服务楼（江湾）,后勤服务楼（江湾） 员工水吧,水吧,08:00-20:00
99,后勤服务楼（江湾）,后勤服务楼（江湾） 员工休息室,自习室,08:00-20:00
100,后勤服务楼（江湾）,后勤服务楼（江湾） 公共卫生间,卫生间,24h
101,基础医学院楼,基础医学院楼 实验室101,教室,09:00-20:00
102,基础医学院楼,基础医学院楼 实验室201,教室,09:00-20:00
103,基础医学院楼,基础医学院楼 导师办公室,办公室,09:00-18:30
104,基础医学院楼,基础医学院楼 研读室,自习室,08:00-23:00
105,基础医学院楼,基础医学院楼 公共卫生间,卫生间,07:00-23:00
106,公共卫生学院楼,公共卫生学院楼 101教室,教室,08:00-21:50
107,公共卫生学院楼,公共卫生学院楼 201教室,教室,08:00-21:50
108,公共卫生学院楼,公共卫生学院楼 自习室,自习室,07:00-23:00
109,公共卫生学院楼,公共卫生学院楼 水吧,水吧,09:00-20:30
110,公共卫生学院楼,公共卫生学院楼 公共卫生间,卫生间,06:00-23:30
111,护理学院楼,护理学院楼 101教室,教室,08:00-21:50
112,护理学院楼,护理学院楼 201教室,教室,08:00-21:50
113,护理学院楼,护理学院楼 自习室,自习室,07:00-23:00
114,护理学院楼,护理学院楼 水吧,水吧,09:00-20:30
115,护理学院楼,护理学院楼 公共卫生间,卫生间,06:00-23:30
116,枫林图书馆,枫林图书馆 阅览室A,自习室,08:00-22:00
117,枫林图书馆,枫林图书馆 阅览室B,自习室,08:00-22:00
118,枫林图书馆,枫林图书馆 信息咨询台,办公室,08:30-17:30
119,枫林图书馆,枫林图书馆 咖啡角,水吧,09:00-20:30
120,枫林图书馆,枫林图书馆 公共卫生间,卫生间,08:00-22:00
121,枫林食堂,枫林食堂 一层餐厅,食堂,06:30-20:00
122,枫林食堂,枫林食堂 二层餐厅,食堂,06:30-20:00
123,枫林食堂,枫林食堂 水吧,水吧,07:30-20:30
124,枫林食堂,枫林食堂 后勤办公室,办公室,08:30-17:30
125,枫林食堂,枫林食堂 公共卫生间,卫生间,06:00-21:30
126,枫林宿舍1号楼,枫林宿舍1号楼 101寝室,寝室,24h
127,枫林宿舍1号楼,枫林宿舍1号楼 201寝室,寝室,24h
128,枫林宿舍1号楼,枫林宿舍1号楼 自习室,自习室,18:00-23:30
129,枫林宿舍1号楼,枫林宿舍1号楼 楼管办公室,办公室,24h
130,枫林宿舍1号楼,枫林宿舍1号楼 公共卫生间,卫生间,24h
131,枫林宿舍2号楼,枫林宿舍2号楼 101寝室,寝室,24h
132,枫林宿舍2号楼,枫林宿舍2号楼 201寝室,寝室,24h
133,枫林宿舍2号楼,枫林宿舍2号楼 自习室,自习室,18:00-23:30
134,枫林宿舍2号楼,枫林宿舍2号楼 楼管办公室,办公室,24h
135,枫林宿舍2号楼,枫林宿舍2号楼 公共卫生间,卫生间,24h
136,科研楼（枫林）A,科研楼（枫林）A 实验室101,教室,09:00-20:00
137,科研楼（枫林）A,科研楼（枫林）A 实验室201,教室,09:00-20:00
138,科研楼（枫林）A,科研楼（枫林）A 研究办公室,办公室,09:00-18:30
139,科研楼（枫林）A,科研楼（枫林）A 研读室,自习室,08:00-23:00
140,科研楼（枫林）A,科研楼（枫林）A 公共卫生间,卫生间,07:00-23:00
141,行政楼（枫林）,行政楼（枫林） 教务办公室,办公室,08:30-17:30
142,行政楼（枫林）,行政楼（枫林） 财务办公室,办公室,08:30-17:30
143,行政楼（枫林）,行政楼（枫林） 会议室A,自习室,09:00-18:00
144,行政楼（枫林）,行政楼（枫林） 水吧,水吧,09:00-17:30
145,行政楼（枫林）,行政楼（枫林） 公共卫生间,卫生间,08:00-18:00
146,学术交流中心（枫林）,学术交流中心（枫林） 报告厅,教室,09:00-21:00
147,学术交流中心（枫林）,学术交流中心（枫林） 讨论室1,自习室,09:00-22:00
148,学术交流中心（枫林）,学术交流中心（枫林） 讨论室2,自习室,09:00-22:00
149,学术交流中心（枫林）,学术交流中心（枫林） 会务办公室,办公室,09:00-18:00
150,学术交流中心（枫林）,学术交流中心（枫林） 公共卫生间,卫生间,09:00-22:00
151,张江科研楼A,张江科研楼A 实验室101,教室,09:00-20:00
152,张江科研楼A,张江科研楼A 实验室201,教室,09:00-20:00
153,张江科研楼A,张江科研楼A 研究办公室,办公室,09:00-18:30
154,张江科研楼A,张江科研楼A 研读室,自习室,08:00-23:00
155,张江科研楼A,张江科研楼A 公共卫生间,卫生间,07:00-23:00
156,张江科研楼B,张江科研楼B 实验室101,教室,09:00-20:00
157,张江科研楼B,张江科研楼B 实验室201,教室,09:00-20:00
158,张江科研楼B,张江科研楼B 研究办公室,办公室,09:00-18:30
159,张江科研楼B,张江科研楼B 研读室,自习室,08:00-23:00
160,张江科研楼B,张江科研楼B 公共卫生间,卫生间,07:00-23:00
161,张江教学楼,张江教学楼 101教室,教室,08:00-21:50
162,张江教学楼,张江教学楼 201教室,教室,08:00-21:50
163,张江教学楼,张江教学楼 自习室,自习室,07:00-23:00
164,张江教学楼,张江教学楼 水吧,水吧,09:00-20:30
165,张江教学楼,张江教学楼 公共卫生间,卫生间,06:00-23:30
166,张江图书馆,张江图书馆 阅览室A,自习室,08:00-22:00
167,张江图书馆,张江图书馆 阅览室B,自习室,08:00-22:00
168,张江图书馆,张江图书馆 信息咨询台,办公室,08:30-17:30
169,张江图书馆,张江图书馆 咖啡角,水吧,09:00-20:30
170,张江图书馆,张江图书馆 公共卫生间,卫生间,08:00-22:00
171,张江食堂,张江食堂 一层餐厅,食堂,06:30-20:00
172,张江食堂,张江食堂 二层餐厅,食堂,06:30-20:00
173,张江食堂,张江食堂 水吧,水吧,07:30-20:30
174,张江食堂,张江食堂 后勤办公室,办公室,08:30-17:30
175,张江食堂,张江食堂 公共卫生间,卫生间,06:00-21:30
176,张江宿舍1号楼,张江宿舍1号楼 101寝室,寝室,24h
177,张江宿舍1号楼,张江宿舍1号楼 201寝室,寝室,24h
178,张江宿舍1号楼,张江宿舍1号楼 自习室,自习室,18:00-23:30
179,张江宿舍1号楼,张江宿舍1号楼 楼管办公室,办公室,24h
180,张江宿舍1号楼,张江宿舍1号楼 公共卫生间,卫生间,24h
181,张江宿舍2号楼,张江宿舍2号楼 101寝室,寝室,24h
182,张江宿舍2号楼,张江宿舍2号楼 201寝室,寝室,24h
183,张江宿舍2号楼,张江宿舍2号楼 自习室,自习室,18:00-23:30
184,张江宿舍2号楼,张江宿舍2号楼 楼管办公室,办公室,24h
185,张江宿舍2号楼,张江宿舍2号楼 公共卫生间,卫生间,24h
186,张江体育中心,张江体育中心 器材室,办公室,08:00-22:00
187,张江体育中心,张江体育中心 训练室,自习室,08:00-22:00
188,张江体育中心,张江体育中心 水吧,水吧,10:00-21:30
189,张江体育中心,张江体育中心 男卫生间,卫生间,08:00-22:00
190,张江体育中心,张江体育中心 女卫生间,卫生间,08:00-22:00
191,创新创业中心（张江）,创新创业中心（张江） 创新工位区,自习室,09:00-22:00
192,创新创业中心（张江）,创新创业中心（张江） 路演厅,教室,09:00-21:00
193,创新创业中心（张江）,创新创业中心（张江） 项目办公室,办公室,09:00-18:30
194,创新创业中心（张江）,创新创业中心（张江） 水吧,水吧,09:00-20:00
195,创新创业中心（张江）,创新创业中心（张江） 公共卫生间,卫生间,09:00-22:00
196,后勤保障楼（张江）,后勤保障楼（张江） 服务窗口,办公室,08:30-17:30
197,后勤保障楼（张江）,后勤保障楼（张江） 维修值班室,办公室,24h
198,后勤保障楼（张江）,后勤保障楼（张江） 员工水吧,水吧,08:00-20:00
199,后勤保障楼（张江）,后勤保障楼（张江） 员工休息室,自习室,08:00-20:00
200,后勤保障楼（张江）,后勤保障楼（张江） 公共卫生间,卫生间,24h
