teacher_id,course_id,semester,section_no,teach_role,start_time,end_time,create_time,update_time
14,MA20007,2026-Spring,01,教师,2026-02-23 08:00:00,2026-06-30 18:00:00,\N,\N
64,MA20007,2026-Spring,01,助教,2026-02-23 08:00:00,2026-06-30 18:00:00,\N,\N
15,MA20008,2026-Spring,01,教师,2026-02-23 08:00:00,2026-06-30 18:00:00,\N,\N
65,MA20008,2026-Spring,01,助教,2026-02-23 08:00:00,2026-06-30 18:00:00,\N,\N
16,MA20009,2026-Spring,01,教师,2026-02-23 08:00:00,2026-06-30 18:00:00,\N,\N
66,MA20009,2026-Spring,01,助教,2026-02-23 08:00:00,2026-06-30 18:00:00,\N,\N
17,MA20010,2026-Spring,01,教师,2026-02-23 08:00:00,2026-06-30 18:00:00,\N,\N
67,MA20010,2026-Spring,01,助教,2026-02-23 08:00:00,2026-06-30 18:00:00,\N,\N
18,PH20006,2026-Spring,01,教师,2026-02-23 08:00:00,2026-06-30 18:00:00,\N,\N
68,PH20006,2026-Spring,01,助教,2026-02-23 08:00:00,2026-06-30 18:00:00,\N,\N
19,PH20007,2026-Spring,01,教师,2026-02-23 08:00:00,2026-06-30 18:00:00,\N,\N
69,PH20007,2026-Spring,01,助教,2026-02-23 08:00:00,2026-06-30 18:00:00,\N,\N
20,PH20008,2026-Spring,01,教师,2026-02-23 08:00:00,2026-06-30 18:00:00,\N,\N
70,PH20008,2026-Spring,01,助教,2026-02-23 08:00:00,2026-06-30 18:00:00,\N,\N
21,PH20009,2026-Spring,01,教师,2026-02-23 08:00:00,2026-06-30 18:00:00,\N,\N
71,PH20009,2026-Spring,01,助教,2026-02-23 08:00:00,2026-06-30 18:00:00,\N,\N
22,CH20005,2026-Spring,01,教师,2026-02-23 08:00:00,2026-06-30 18:00:00,\N,\N
72,CH20005,2026-Spring,01,助教,2026-02-23 08:00:00,2026-06-30 18:00:00,\N,\N
23,CH20006,2026-Spring,01,教师,2026-02-23 08:00:00,2026-06-30 18:00:00,\N,\N
73,CH20006,2026-Spring,01,助教,2026-02-23 08:00:00,2026-06-30 18:00:00,\N,\N
24,CH20007,2026-Spring,01,教师,2026-02-23 08:00:00,2026-06-30 18:00:00,\N,\N
74,CH20007,2026-Spring,01,助教,2026-02-23 08:00:00,2026-06-30 18:00:00,\N,\N
25,BI20005,2026-Spring,01,教师,2026-02-23 08:00:00,2026-06-30 18:00:00,\N,\N
75,BI20005,2026-Spring,01,助教,2026-02-23 08:00:00,2026-06-30 18:00:00,\N,\N
26,BI20006,2026-Spring,01,教师,2026-02-23 08:00:00,2026-06-30 18:00:00,\N,\N
76,BI20006,2026-Spring,01,助教,2026-02-23 08:00:00,2026-06-30 18:00:00,\N,\N
27,BI20007,2026-Spring,01,教师,2026-02-23 08:00:00,2026-06-30 18:00:00,\N,\N
77,BI20007,2026-Spring,01,助教,2026-02-23 08:00:00,2026-06-30 18:00:00,\N,\N
28,JR20004,2026-Spring,01,教师,2026-02-23 08:00:00,2026-06-30 18:00:00,\N,\N
78,JR20004,2026-Spring,01,助教,2026-02-23 08:00:00,2026-06-30 18:00:00,\N,\N
29,JR20005,2026-Spring,01,教师,2026-02-23 08:00:00,2026-06-30 18:00:00,\N,\N
79,JR20005,2026-Spring,01,助教,2026-02-23 08:00:00,2026-06-30 18:00:00,\N,\N
30,EC20005,2026-Spring,01,教师,2026-02-23 08:00:00,2026-06-30 18:00:00,\N,\N
80,EC20005,2026-Spring,01,助教,2026-02-23 08:00:00,2026-06-30 18:00:00,\N,\N
31,EC20006,2026-Spring,01,教师,2026-02-23 08:00:00,2026-06-30 18:00:00,\N,\N
81,EC20006,2026-Spring,01,助教,2026-02-23 08:00:00,2026-06-30 18:00:00,\N,\N
32,EC20007,2026-Spring,01,教师,2026-02-23 08:00:00,2026-06-30 18:00:00,\N,\N
82,EC20007,2026-Spring,01,助教,2026-02-23 08:00:00,2026-06-30 18:00:00,\N,\N
33,MG20005,2026-Spring,01,教师,2026-02-23 08:00:00,2026-06-30 18:00:00,\N,\N
83,MG20005,2026-Spring,01,助教,2026-02-23 08:00:00,2026-06-30 18:00:00,\N,\N
34,MG20006,2026-Spring,01,教师,2026-02-23 08:00:00,2026-06-30 18:00:00,\N,\N
84,MG20006,2026-Spring,01,助教,2026-02-23 08:00:00,2026-06-30 18:00:00,\N,\N
35,MG20007,2026-Spring,01,教师,2026-02-23 08:00:00,2026-06-30 18:00:00,\N,\N
85,MG20007,2026-Spring,01,助教,2026-02-23 08:00:00,2026-06-30 18:00:00,\N,\N
36,MG20008,2026-Spring,01,教师,2026-02-23 08:00:00,2026-06-30 18:00:00,\N,\N
86,MG20008,2026-Spring,01,助教,2026-02-23 08:00:00,2026-06-30 18:00:00,\N,\N
37,FL20004,2026-Spring,01,教师,2026-02-23 08:00:00,2026-06-30 18:00:00,\N,\N
87,FL20004,2026-Spring,01,助教,2026-02-23 08:00:00,2026-06-30 18:00:00,\N,\N
38,FL20005,2026-Spring,01,教师,2026-02-23 08:00:00,2026-06-30 18:00:00,\N,\N
88,FL20005,2026-Spring,01,助教,2026-02-23 08:00:00,2026-06-30 18:00:00,\N,\N
39,LW20004,2026-Spring,01,教师,2026-02-23 08:00:00,2026-06-30 18:00:00,\N,\N
89,LW20004,2026-Spring,01,助教,2026-02-23 08:00:00,2026-06-30 18:00:00,\N,\N
40,LW20005,2026-Spring,01,教师,2026-02-23 08:00:00,2026-06-30 18:00:00,\N,\N
90,LW20005,2026-Spring,01,助教,2026-02-23 08:00:00,2026-06-30 18:00:00,\N,\N
41,LW20006,2026-Spring,01,教师,2026-02-23 08:00:00,2026-06-30 18:00:00,\N,\N
91,LW20006,2026-Spring,01,助教,2026-02-23 08:00:00,2026-06-30 18:00:00,\N,\N
42,MD20003,2026-Spring,01,教师,2026-02-23 08:00:00,2026-06-30 18:00:00,\N,\N
92,MD20003,2026-Spring,01,助教,2026-02-23 08:00:00,2026-06-30 18:00:00,\N,\N
43,MD20004,2026-Spring,01,教师,2026-02-23 08:00:00,2026-06-30 18:00:00,\N,\N
93,MD20004,2026-Spring,01,助教,2026-02-23 08:00:00,2026-06-30 18:00:00,\N,\N
44,MD20005,2026-Spring,01,教师,2026-02-23 08:00:00,2026-06-30 18:00:00,\N,\N
94,MD20005,2026-Spring,01,助教,2026-02-23 08:00:00,2026-06-30 18:00:00,\N,\N
45,SP20002,2026-Spring,01,教师,2026-02-23 08:00:00,2026-06-30 18:00:00,\N,\N
95,SP20002,2026-Spring,01,助教,2026-02-23 08:00:00,2026-06-30 18:00:00,\N,\N
46,SP20003,2026-Spring,01,教师,2026-02-23 08:00:00,2026-06-30 18:00:00,\N,\N
96,SP20003,2026-Spring,01,助教,2026-02-23 08:00:00,2026-06-30 18:00:00,\N,\N
47,SP20004,2026-Spring,01,教师,2026-02-23 08:00:00,2026-06-30 18:00:00,\N,\N
97,SP20004,2026-Spring,01,助教,2026-02-23 08:00:00,2026-06-30 18:00:00,\N,\N
48,MG20009,2026-Spring,02,教师,2026-02-23 08:00:00,2026-06-30 18:00:00,\N,\N
98,MG20009,2026-Spring,02,助教,2026-02-23 08:00:00,2026-06-30 18:00:00,\N,\N
49,JR20006,2026-Spring,02,教师,2026-02-23 08:00:00,2026-06-30 18:00:00,\N,\N
99,JR20006,2026-Spring,02,助教,2026-02-23 08:00:00,2026-06-30 18:00:00,\N,\N
50,FL20006,2026-Spring,02,教师,2026-02-23 08:00:00,2026-06-30 18:00:00,\N,\N
100,FL20006,2026-Spring,02,助教,2026-02-23 08:00:00,2026-06-30 18:00:00,\N,\N
14,CS20001,2025-Fall,01,教师,2025-09-08 08:00:00,2026-01-12 18:00:00,\N,\N
27,CS20001,2025-Fall,01,教师,2025-09-08 08:00:00,2026-01-12 18:00:00,\N,\N
14,CS20001,2026-Spring,01,教师,2026-02-23 08:00:00,2026-06-30 18:00:00,\N,\N
27,CS20001,2026-Spring,01,教师,2026-02-23 08:00:00,2026-06-30 18:00:00,\N,\N
1,CS20001,2025-Fall,02,教师,2025-09-08 08:00:00,2026-01-12 18:00:00,\N,\N
51,CS20001,2025-Fall,02,助教,2025-09-08 08:00:00,2026-01-12 18:00:00,\N,\N
1,CS20001,2025-Fall,03,教师,2025-09-08 08:00:00,2026-01-12 18:00:00,\N,\N
51,CS20001,2025-Fall,03,助教,2025-09-08 08:00:00,2026-01-12 18:00:00,\N,\N
1,CS20001,2026-Spring,02,教师,2026-02-23 08:00:00,2026-06-30 18:00:00,\N,\N
51,CS20001,2026-Spring,02,助教,2026-02-23 08:00:00,2026-06-30 18:00:00,\N,\N
1,CS20001,2026-Spring,03,教师,2026-02-23 08:00:00,2026-06-30 18:00:00,\N,\N
51,CS20001,2026-Spring,03,助教,2026-02-23 08:00:00,2026-06-30 18:00:00,\N,\N
